66,Curry Crust Pizzeria,Powai, Italian;Pizzas;Fast Food;Desserts,125; Galleria Shopping Centre; Main St; Hiranandani Gardens; Panchkutir Ganesh Nagar; Powai; Mumbai; Maharashtra 400076; India,500,Hiranandani Gardens,4.6,50000
67,Sbarro - New York Pizza,Vikhroli West, Italian;Pizzas;Desserts;Beverages,Sbarro; Kailash Industrial; Complex Park Site Road; Hmpl Surya Nagar; Vikhroli; Mumbai,500,Park Site Road,4,50000
68,Wraps and Rolls,Powai, Fast Food;Healthy Food,B 16 KAILAS INDL COMPLEX VEER SAVARKAR ROAD POWAI VIKHROLI ROAD VIKHROLI WEST MUMBAI 400079 Greater Mumbai Maharashtra 400079,250,Vikhroli Road,4.2,25000
69,The Bowl Project,Powai, Oriental;Italian-American;Indian;Asian,Gala No B 16; Kohinoor Premises Co Op Society Ltd; Aslam Compound; Sakinaka; Chandivali; Mumbai 400072,650,Aslam Compound,4.1,65000
70,House of Momo,Powai, Asian;Chinese,B-16; Kailas Indl. Complex; Veer Savarkar Road; Powai Vikhroli Road; Vikhroli West; Mumbai - 400079; Greater Mumbai; Maharashtra-400079,200,Veer Savarkar Road,4.2,20000
71,Little Italy,Marol Sakinaka, Italian,Budhia Jadhav Wadi; LXC-B1/1 Jaihind Association; Saki Vihar Rd; opp. Nirali Hospital;Opposite Powaai Lunch Home Mumbai; Maharashtra 400072,850,Saki Vihar Rd,3.8,85000
72,Diet Experts,Powai, Salads;Healthy Food,Shop number 2/2; Shrikrishna Niwas; 1st Floor; Near Powai Polyclinic; opp. IIT Maingate; Powai; Mumbai 400076,400,Iit Maingate Road,4.1,40000
73,Papacream,Powai, Ice Cream;Desserts,SHOP NO-LXC-B1/1; JAI HIND  ASSO;BUDHIA JADHAV WADI;SAKIVIHAR  ROAD; OPPOSIT L & T GATE NO.7 POWAI;  Tunge Gaon; Greater Mumbai Ward-L;  Greater Mumbai; Maharashtra - 400072,350,Marol Sakinaka,4.5,35000
74,RushHrs,Marol Sakinaka, American;Snacks;Beverages,K1; Jai Hind Asso; Budhia Jadhav Wadi ; Sakivihar Road ; ; Greater Mumbai Ward-L; Greater Mumbai; ; Maharashtra; 400072,300,Budhia Jadhav Wadi,4,30000
75,Cafe Shalimar,Powai, North Indian;Biryani;Desserts;Beverages,GALA NO 5A; BISMILLAH HOTEL; STANNEY COMPOUND; NR S J STUDIO; KHERANI ROAD; SAKINAKA ; Sakinaka ; Greater Mumbai Ward-L; Greater Mumbai; Maharashtra-400072,500,Nr S J Studio,3.2,50000
76,Rolls & Bowls Company,Andheri East, Indian;North Indian;Chinese,Unit No. G-25; Ground Floor; Chandivali Narayan Plaza Premises Co. Operative Society Limited; 26A; Narayan Plaza; Opp. Saki Vihar Road; Saki Naka; Andheri East; Mumbai 400072,250,Saki Vihar Road,4.2,25000
77,Schezwan King,Powai, Chinese;North Indian,GALA NO.13; AZMI COMPOUND;opp REHMANIYA MASJID; BEHIND CHANDIVALI POLICE STATION;KHERANI ROAD SAKINAKA ; MUMBAI- 400072,400,Behind Chandivali Police Station,3.7,40000
78,DUPAR BAANGLAA,Powai, Chinese;Bengali,SHOP-19; GROUNG FLOOR; POWAI PLAZA;Central Ave; Hiranandani Gardens; Sainath Nagar; Powai; Mumbai; Maharashtra 400076; India,300,Powai,4.7,30000
79,Jaspal Di Bhatti,Powai, North Indian;Indian;Tandoor,B/16; GROUND FLOOR; KAILASH IND. COMPLEX; Jogeshwari - Vikhroli Link Rd; Powai; Mumbai; Maharashtra 400072,400,Vikhroli Link Rd,4,40000
80,Beeji Ki Rasoi,Powai, North Indian;Indian,B/16; GROUND FLOOR; KAILASH IND. COMPLEX; Jogeshwari - Vikhroli Link Rd; Powai; Mumbai; Maharashtra 400072,400,Jogeshwari,4.2,40000
81,Kerala Junction,Powai, Kerala;South Indian;Biryani;Seafood,Shopno 6 Tulsi Kunj Mukteshwar Ashram Rd Powai Mumbai Maharashtra 400076,600,Tulsi Kunj Mukteshwar Ashram Rd,4,60000
82,Go Biryan,Powai, Biryani;North Indian;Mughlai;Tandoor;Kebabs;Desserts,Room No. 1; Radhabai Chawl; Adi. Shankaracharya Marg; Near IIT Powai; Andheri East; Mumbai; Greater Mumbai; Maharashtra-400076,400,Adi Shankaracharya Marg,3.8,40000
83,Sufi Darbar Restaurant,Powai, Chinese;Mughlai,GALA NO 2; D P K COMPOUND; NEAR LUCK HOTEL;   KHERANI ROAD; SAKINAKA MUMBAI 400072;GREATER   MUMBAI WARD-L;GREATER MUMBAI;MAHARASHTRA-400072,300,Marol Sakinaka,4.3,30000
84,The Bengal Club,Powai, Bengali;Biryani;Street Food,Shop no 2; Sumati Niwash; satam house; tirandaz village; opposite ; IIT; main gate; near shivsena  office; powai; mumbai; 400076,300,Satam House,3.7,30000
85,Bunbuoy burgers,Hiranandani Gardens, Snacks;Biryani;Beverages;American,shop No.1/1; HAKONE GAMING ZONE; OPP. HIRANANDANI ;POWAI ;MUMBAI 400076; POWAI LAKE; GREATER MUMBAI WARD-S;GREATER MUMBAI; MAHARASHTRA-400076,500,Opp Hiranandani,4.4,50000
86,Medha Malvan,Powai, Malwani;Maharashtrian,Medha Malvan; ;Gala No. 2; Aslam Compound; Shree Nagar; Opposite Micro Labs; Chandivali; Mumbai - 400072,500,Shree Nagar,2.9,50000
87,Great Indian Meals,Powai, Mangalorean;North Indian;South Indian;Malwani,zesty kitchen; Gala No. 2; Usmania Compound; Shree Nagar; Opposite Micro Labs; Chandivali; Mumbai - 400072; Maharashtra,300,Shree Nagar,3.2,30000
88,Ranjana's Rannaghor - The Bengali Kitchen,Powai, Bengali;North Indian;Biryani;Mughlai;Indian;Desserts;Seafood;Snacks;Beverages;Tandoor;Kebabs;Afghani;Thalis;Barbecue,gala number-3A;Stanny compound;behind bismillah hotel;khairani;Sakinaka;400072,300,stanny compound,4,30000
89,Apna Food Court,Powai, Chinese;Continental,C wing 103; first floor; Kailash industrial complex; above thambi restaurant; Vikhroli west,450,Kailash Industrial Complex,5,45000
90,Senoritas Mexican kitchen by Little Italy,Powai, Mexican;Salads;Combo;Snacks;Healthy Food,Budhia Jadhav Wadi; LXC-B1/1 Jaihind Association; Saki Vihar Rd; opp. Nirali Hospital;Opposite Powaai Lunch Home Mumbai; Maharashtra 400072,500,Saki Vihar Rd,4.3,50000
91,East Pan Asian,Powai, Pan-Asian;Chinese;Continental,B 16 KAILAS INDL COMPLEX VEER SAVARKAR ROAD POWAI VIKHROLI ROAD VIKHROLI WEST MUMBAI 400079 Greater Mumbai Maharashtra 400079,500,Savarkar Road,3.1,50000
92,Huber & Holly,Powai, Desserts;Ice Cream,B-16; KAILAS INDL. COMPLEX; VEER SAVARKAR ROAD; POWAI VIKHROLI ROAD; VIKHROLI WEST; MUMBAI - 400079,200,Veer Savarkar Road,4.1,20000
93,Curry Culture,Powai, Biryani;North Indian;Kebabs;Chinese;Seafood;Asian;Thai;Mughlai;Indian;Desserts;Tandoor,Shop no 3 opp Mukteshwar Ashram; on Mukteshwar AshramRd ; Tirandaz; Vikhroli West; Mumbai; Maharashtra 400076,350,Tirandaz,4.3,35000
94,Buddha Belly,Powai, Chinese,Gala No. 3A; Stanny compound; near SJ Studios; Kherani Road; Sakinaka; Andheri East; Mumbai  -  400072,300,Near Sj Studios,4.3,30000
95,Louis Burger,Powai, American,LOUIS POWAI  Kitchen plus  C111/112 Kailash Vaibhav industrial complex; Vikhroli; Mumbai; Maharashtra; 400079,600,Vikhroli,4.4,60000
96,Tude Premium Ice Creams,Powai, Ice Cream;Desserts,49AA; Ground Floor; Kailas Industrial Complex; Veer Savarkar Marg; Park Site; Vikhroli West Mumbai-400079,250,Veer Savarkar Marg,4.8,25000
97,Cake Walk 72,Marol Sakinaka, Desserts,Shop no 3; Raje Shivaji Nagar; Opp Shanti Smirti Chs; Opp L&T Gate no 7; Kurla West; 400072,300,Near Boomerang,3.9,30000
